  102153   45317   56836
  3561  3007    1   1     9
  3562  3007    1   1     6
  3563  3007    1   1     9
  3564  3007    1   1    13
  3565  3007    1   1    10
  3566  3007    1   1    13
  3578  3007    1   1     8
  3579  3007    1   1     6
  3580  3007    1   1     9
  3581  3007    1   1    14
  3582  3007    1   1    18
  3583  3007    1   1    17
  3584  3007    1   1    16
  3585  3007    1   1    16
  3586  3007    1   1    12
  3587  3007    1   1     6
  3588  3007    1   1     2
  3590  3007    1   1     1
  3592  3007    1   1     3
  3677  3007    1   1   115
  3678  3007    1   1    80
  3679  3007    1   1    58
  3680  3007    1   1    42
  3681  3007    1   1    29
  3682  3007    1   1    20
  3683  3007    1   1    12
  3684  3007    1   1     3
  3705  3007    1   1    47
  3719  3007    1   1    66
  3720  3007    1   1    36
  3721  3007    1   1   115
  3722  3007    1   1    91
  3725  3007    1   1     1
  3727  3007    1   1     1
  3728  3007    1   1     2
  3729  3007    1   1     2
  3730  3007    1   1     2
  3731  3007    1   1     2
  3732  3007    1   1     2
  3734  3007    1   1    10
  3735  3007    1   1    30
  3736  3007    1   1    44
  3737  3007    1   1    55
  3738  3007    1   1    60
  3739  3007    1   1    53
  3740  3007    1   1    38
  3741  3007    1   1    19
  3751  3007    1   1    97
  3754  3007    1   1   262
  3763  3007    1   1    61
  3764  3007    1   1    22
  3770  3007    1   1     9
  3771  3007    1   1     1
  3772  3007    1   1     1
  3773  3007    1   1     1
  3774  3007    1   1     1
  3775  3007    1   1     1
  3776  3007    1   1     1
  3778  3007    1   1    19
  3427  3008    1   1    22
  3430  3008    1   1     2
  3434  3008    1   1    57
  3435  3008    1   1   159
  3436  3008    1   1   126
  3547  3008    1   1    38
  3548  3008    1   1    41
  3549  3008    1   1    40
  3550  3008    1   1    37
  3551  3008    1   1    32
  3552  3008    1   1    26
  3553  3008    1   1    22
  3554  3008    1   1    18
  3555  3008    1   1    16
  3556  3008    1   1    15
  3557  3008    1   1    14
  3558  3008    1   1    14
  3559  3008    1   1    14
  3560  3008    1   1    12
  3561  3008    1   1    11
  3562  3008    1   1    10
  3563  3008    1   1     8
  3564  3008    1   1     6
  3565  3008    1   1     6
  3566  3008    1   1     5
  3578  3008    1   1     1
  3579  3008    1   1     6
  3580  3008    1   1     2
  3581  3008    1   1     3
  3582  3008    1   1     6
  3583  3008    1   1     5
  3584  3008    1   1     4
  3585  3008    1   1     5
  3586  3008    1   1     3
  3587  3008    1   1     1
  3588  3008    1   1     1
  3589  3008    1   1     1
  3590  3008    1   1     1
  3591  3008    1   1     1
  3593  3008    1   1    14
  3594  3008    1   1    54
  3677  3008    1   1    92
  3678  3008    1   1    61
  3679  3008    1   1    45
  3680  3008    1   1    34
  3681  3008    1   1    25
  3682  3008    1   1    18
  3683  3008    1   1    11
  3684  3008    1   1     2
  3705  3008    1   1    93
  3706  3008    1   1    17
  3716  3008    1   1     9
  3718  3008    1   1    12
  3719  3008    1   1    84
  3720  3008    1   1    61
  3723  3008    1   1    47
  3726  3008    1   1     3
  3727  3008    1   1     1
  3730  3008    1   1     1
  3731  3008    1   1     1
  3733  3008    1   1    15
  3734  3008    1   1    46
  3735  3008    1   1    70
  3736  3008    1   1    88
  3739  3008    1   1    74
  3740  3008    1   1    46
  3741  3008    1   1    20
  3742  3008    1   1     2
  3754  3008    1   1    31
  3757  3008    1   1    32
  3758  3008    1   1   146
  3763  3008    1   1    77
  3764  3008    1   1    28
  3770  3008    1   1     7
  3771  3008    1   1     1
  3772  3008    1   1     1
  3773  3008    1   1     1
  3774  3008    1   1     1
  3775  3008    1   1     1
  3776  3008    1   1     1
  3778  3008    1   1    10
  3427  3009    1   1   218
  3428  3009    1   1    63
  3429  3009    1   1    12
  3431  3009    1   1     1
  3432  3009    1   1     1
  3547  3009    1   1    96
  3548  3009    1   1    81
  3549  3009    1   1    71
  3550  3009    1   1    60
  3551  3009    1   1    49
  3552  3009    1   1    38
  3553  3009    1   1    30
  3554  3009    1   1    24
  3555  3009    1   1    21
  3556  3009    1   1    19
  3557  3009    1   1    18
  3558  3009    1   1    17
  3559  3009    1   1    17
  3560  3009    1   1    16
  3561  3009    1   1    15
  3562  3009    1   1    14
  3563  3009    1   1    12
  3564  3009    1   1    10
  3565  3009    1   1     7
  3566  3009    1   1     6
  3580  3009    1   1    11
  3581  3009    1   1     3
  3582  3009    1   1     3
  3583  3009    1   1     2
  3584  3009    1   1     2
  3585  3009    1   1     1
  3586  3009    1   1     1
  3587  3009    1   1     1
  3588  3009    1   1     1
  3589  3009    1   1     1
  3590  3009    1   1     1
  3591  3009    1   1     1
  3593  3009    1   1     5
  3594  3009    1   1    22
  3677  3009    1   1    48
  3678  3009    1   1    35
  3679  3009    1   1    30
  3680  3009    1   1    24
  3681  3009    1   1    19
  3682  3009    1   1    15
  3683  3009    1   1    10
  3684  3009    1   1     3
  3705  3009    1   1   141
  3706  3009    1   1    28
  3719  3009    1   1    25
  3720  3009    1   1    52
  3723  3009    1   1   190
  3724  3009    1   1   123
  3725  3009    1   1    87
  3726  3009    1   1    73
  3727  3009    1   1    40
  3728  3009    1   1    12
  3733  3009    1   1    61
  3734  3009    1   1   123
  3735  3009    1   1   126
  3736  3009    1   1   144
  3739  3009    1   1    95
  3740  3009    1   1    56
  3741  3009    1   1    28
  3742  3009    1   1    12
  3758  3009    1   1   113
  3763  3009    1   1    76
  3764  3009    1   1    21
  3770  3009    1   1    10
  3771  3009    1   1     1
  3772  3009    1   1     1
  3773  3009    1   1     1
  3774  3009    1   1     1
  3775  3009    1   1     1
  3776  3009    1   1     1
  3778  3009    1   1    14
  3429  3010    1   1   106
  3430  3010    1   1     6
  3432  3010    1   1     1
  3440  3010    1   1   153
  3497  3010    1   1    58
  3498  3010    1   1   224
  3551  3010    1   1    67
  3552  3010    1   1    51
  3553  3010    1   1    39
  3554  3010    1   1    32
  3555  3010    1   1    27
  3556  3010    1   1    25
  3557  3010    1   1    23
  3558  3010    1   1    22
  3559  3010    1   1    22
  3560  3010    1   1    21
  3561  3010    1   1    20
  3562  3010    1   1    19
  3563  3010    1   1    17
